يمتلكوا قدرة وهم بلا 
يلتفت إل قولهم وأطلق 
يغلب عليهم عدم إنصاف 
يعترف قادة حلف أطلنطي 
يسم صحوات وضياع كثير 
يرفع أقوامآ ويخفض آخرين 
يجلها ناس شكلا ومضمونا 
يبق إلا إعفاء فلم 
يؤيد برادعي رئيسة مقالات 
يؤيد برادعي رئيسة عصر 
ويهزم طغاة دعاة شيطان 
ويقول وحيد مجيد محلل 
ويصدق عليهم مثل عربي 
وهم بلا خبرة أليس 
ونوهت بعملهما وسأورد قصتيهما 
ونوادر رئيسة رسالتنا مشرف 
ومقام كريم ونعمة كانوا 
ومحلا مستهزئين ومرم لسهام 
ولم تكن محجبة فأمرها 
ولم تتورط عناصرها وقياداتها 
ولله حمد منة ولذلك 
وللمسلمين حماية وذلك طوال 
ولكنهم اردوا اذلال مسلمين 
ولقد عض صليبيون اليد 
ولا يعترف قادة حلف 
وكذا منع حرق مدارس 
وقلوب أفغان باعتبار غياب 
وفنون انتقلت إل أوروبا 
وفضحت قومية وخزيت اشتراكية 
وغير معروفة معها يؤكد 
وغرب أفغانستان وامتداده إل 
وغرائب ونوادر رئيسة رسالتنا 
وعيون وزروع ومقام كريم 
وعلوم وفنون انتقلت إل 
وعل قطاع طرق وحققت 
وعظم الله تعال جهاده 
وصححتم مفاهيم فيمن عاش 
وسائل اتصال حديثة وأنها 
وزروع ومقام كريم ونعمة 
وزرت مكتبة اسكندرية وبناؤها 
وزراعات وعلوم وفنون انتقلت 
وذلك طوال تاريخ إسلام 
ودعاتها أولين ولم يرض 
وخشعت قلوب وعجب حاضرون 
وخزيت اشتراكية وضعف يقين 
وخاصة ملا محمد عمر 
وحيدة فريدة ولقد عض 
وحيد مجيد محلل سياسي 
وحمد مكوثه فيهم وانسحب 
وحكم مدة طويلة نسبيا 
وحققت مجتمعا آمنا نظيفا 
وحدثني حديثا طويلا فاضت 
وجود عوامل أخر مساعدة 
وجاء إل كبار جماعة 
وتقديم نفسها جماهير باعتبارها 
وتعرت ناصرية وفضحت قومية 
وتستخدم حرب عصابات لأنها 
وبرئيسها طاغية حت جاءت 
وباعتراف جميع فإنها قضت 
وانسلت وزرت قصر فاروق 
وامتداده إل باكستان ووجود 
والغش خداع ويصدق عليهم 
واكتسابهم أسلوب صحيح مواجهة 
واشنطن مقابل إضعاف دور 
وأصلوها بنار هزائم متتاليات 
وأت الله بنيان قوم 
وأبحاث قصص وغرائب ونوادر 
هزائم متتاليات وعهدنا مصريين 
هجوم إسرائيلي مصر تحجز 
نكبة عظم هزيمة فاجعة 
نكبات وأصلوها بنار هزائم 
نقل ذكر مصدر عدد 
نفوس قارئين ونعوذ بالله 
نفسها جماهير باعتبارها حركة 
نعمة مسداة رحمة مهداة 
نظيفا ولعل شيوع فساد 
نظافة شديدة ولم تتورط 
نسخة وحيدة فريدة ولقد 
نسبيا استغرقت ثلث أخير 
نساء فجاء إل امرأته 
نجاح عسكري سياسي لطالبان 
نبوية سيرة عطرة مشرقة 
نبهت قراء لفضلهما ونوهت 
ناظرين ومحلا مستهزئين ومرم 
ناصرية وفضحت قومية وخزيت 
ناس يعتبرون ويقرؤون تاريخ 
ناس آنذاك ولتقوية كلام 
نار ولقد جمعني مجلس 
موقع كتاب موقع صوتيات 
موقع صوتيات مرئيات متحف 
موطن فسيح وثاب كثير 
مواجهة وكيفية إدارة معارك 
مواجهة مباشرة ولعل تصاعد 
موئل وللمسلمين حماية وذلك 
منظريه عالمين بميثاقه مجلين 
منطقة راتب مالكي يعادل 
منتشرا وأت الله بنيان 
منتزه فرأيته قصرا منيفا 
منة ولذلك حديث طويل 
مماليك عثمانيون حضارة إسلامية 
مكتبة تاريخية تراجم مقالات 
