يمتلكوا قدرة وهم 
يلتفت إل قولهم 
يقول بروس رايدل 
يغلب عليهم عدم 
يعترف قادة حلف 
يعتبرون ويقرؤون تاريخ 
يسم صحوات وضياع 
يرفع أقوامآ ويخفض 
يد علماء مسلمين 
يجلها ناس شكلا 
يثبت مد قدرة 
يبق إلا إعفاء 
يؤيد برادعي رئيسة 
يؤكد عبقرية قادة 
ويهزم طغاة دعاة 
ويقول وحيد مجيد 
ويصدق عليهم مثل 
وهم بلا خبرة 
ونوهت بعملهما وسأورد 
ونوادر رئيسة رسالتنا 
ونجاح قادة حركة 
ومقام كريم ونعمة 
ومرم لسهام طاعنين 
ومحلا مستهزئين ومرم 
ولم تكن محجبة 
ولم تتورط عناصرها 
ولله حمد منة 
وللمسلمين حماية وذلك 
ولكنهم اردوا اذلال 
ولقد عض صليبيون 
ولقد جمعني مجلس 
ولعل شيوع فساد 
ولعل تصاعد مستمر 
ولذلك حديث طويل 
ولتقوية كلام شيخ 
ولا يعترف قادة 
وكيفية إدارة معارك 
وكذا منع حرق 
وكانوا يحلقون لحاهم 
وقلوب أفغان باعتبار 
وفنون انتقلت إل 
وفضحت قومية وخزيت 
وغير معروفة معها 
وغرب أفغانستان وامتداده 
وغرائب ونوادر رئيسة 
وعيون وزروع ومقام 
وعهدنا مصريين أنهم 
وعلوم وفنون انتقلت 
وعل قطاع طرق 
وعظم الله تعال 
وعشرين سنة مارا 
وضعف يقين معجبين 
وصححتم مفاهيم فيمن 
وسائل اتصال حديثة 
وزروع ومقام كريم 
وزرت مكتبة اسكندرية 
وزرت قصر فاروق 
وزراعات وعلوم وفنون 
وذلك طوال تاريخ 
ودعاتها أولين ولم 
وخشعت قلوب وعجب 
وخزيت اشتراكية وضعف 
وخاصة ملا محمد 
وحيدة فريدة ولقد 
وحيد مجيد محلل 
وحمد مكوثه فيهم 
وحكم مدة طويلة 
وحققت مجتمعا آمنا 
وحدثني حديثا طويلا 
وجود عوامل أخر 
وجود عرق بشتوني 
وجاء إل كبار 
وتقديم نفسها جماهير 
وتعرت ناصرية وفضحت 
وتستخدم حرب عصابات 
وتجارة مخدرات أمر 
وبرئيسها طاغية حت 
وباعتراف جميع فإنها 
واهتزت قناعاتهم وغشيهم 
وانسلت وزرت قصر 
وامتداده إل باكستان 
والله مستعان مصدر 
والله امريكان وغيرهم 
والغش خداع ويصدق 
واكتسابهم أسلوب صحيح 
واشنطن مقابل إضعاف 
واحدة محجبة آنذاك 
وإنا لله وإنا 
وأورثناها قوما آخرين 
وأعظم لكني سأورده 
وأصلوها بنار هزائم 
وأشرطة فيديو وغيرها 
وأت الله بنيان 
وأبحاث قصص وغرائب 
هزائم متتاليات وعهدنا 
هجوم إسرائيلي مصر 
هجري وأوائل عاشر 
نكبة عظم هزيمة 
نكبات وأصلوها بنار 
نقل ذكر مصدر 
نفوس قارئين ونعوذ 
نفسها جماهير باعتبارها 
نعمة مسداة رحمة 
نظيفا ولعل شيوع 
نظافة شديدة ولم 
نصار ورهبانهم ومقدميهم 
نسخة وحيدة فريدة 
نسبيا استغرقت ثلث 
نساء فجاء إل 
نجاح عسكري سياسي 
نبوية سيرة عطرة 
نبهت قراء لفضلهما 
ناظرين ومحلا مستهزئين 
ناصرية وفضحت قومية 
ناس يعتبرون ويقرؤون 
ناس شكلا ومضمونا 
ناس إل رشدهم 
ناس آنذاك ولتقوية 
نار ولقد جمعني 
ناجحة أمر نفسه 
ميتة كلاب مسعورةالضالة 
موقع كتاب موقع 
موقع صوتيات مرئيات 
موطن فسيح وثاب 
مواجهة وكيفية إدارة 
مواجهة مباشرة ولعل 
موئل وللمسلمين حماية 
منع حرق مدارس 
منظريه عالمين بميثاقه 
منطقة راتب مالكي 
منتشرا وأت الله 
منتزه فرأيته قصرا 
منة ولذلك حديث 
مماليك عثمانيون حضارة 
ملا محمد عمر 
مكوثه فيهم وانسحب 
مكتبتها قديمة أول 
مكتبة تاريخية تراجم 
مكتبة اسكندرية وبناؤها 
مكان عمل فصارا 
مقدمين ودعاتها أولين 
مقاومة تعد لرد 
مقالات وأبحاث قصص 
مقالات مشرف مقالات 
مقالات تاريخية عدد 
مقابل إضعاف دور 
مفاهيم فيمن عاش 
مغلقا بسبب عقوبات 
معها يؤكد عبقرية 
معها إل حافلة 
معروفة وغير معروفة 
معروفة معها يؤكد 
معاصرة عدد زيارات 
مضادة اعترف خبراء 
مصر عزيزة نكبات 
مصر شام حجاز 
مصر سابق أنور 
مصر زورا وبهتانا 
مصر تحجز كتابا 
مصدر عدد تعليقات 
مشرقة عصر خلفاء 
مشرف موقع كتاب 
مشرف مقالات تاريخية 
مشايخها مقدمين ودعاتها 
مسلمين لان طالبان 
مسلمين عهد بحرق 
مسداة رحمة مهداة 
مستهزئين ومرم لسهام 
مستشفيات وتقديم نفسها 
مستشرقون عمرو بن 
مركز جماعة أنصار 
مرة غلاما سنة 
مراجعة استراتيجية رئيس 
مرئيات متحف سجل 
مدعاة غزو أمريكي 
مدة طويلة نسبيا 
مخدرات ولكنهم اردوا 
مخدرات وعل قطاع 
مخدرات إل أوروبا 
محمد موس شريف 
محلل سياسي مسئول 
محلاوي حفظه الله 
محجبة فأمرها حجاب 
محاكمة ثورة الت 
مجيد محلل سياسي 
مجلين لقيادته ساهرين 
مجتمعا آمنا نظيفا 
مثل عربي رمتني 
متحف سجل زوار 
متتاليات وعهدنا مصريين 
مباشرة ولعل تصاعد 
مالكي يعادل رواتب 
مات ميتة كلاب 
مؤكدات حديث شيخ 
مؤكد لحديث شيخ 
مآثر حسنة وزرت 
ليركباها إل مكان 
لمعركة طويلة ستحتاج 
لكسب عقول وقلوب 
لفضلهما ونوهت بعملهما 
لطلبة شريعة علوم 
لحديث شيخ حفظه 
لحال ناس آنذاك 
لتجدد عهد مكتبتها 
لبس حجاب حت 
لباس قصير غاية 
لان طالبان تحاكمت 
لاعترافهم بأن طالبان 
كلب فإنا لله 
كريم ونعمة كانوا 
كرس إحساس بنظافة 
كحركة لطلبة شريعة 
كثر فأذاقوا بلاد 
كتب مكتبات إنما 
كتابا يؤيد برادعي 
كتاب موقع صوتيات 
كبار جماعة أنصار 
قيامة مقاومة تعد 
قيادة بائدة وبرئيسها 
قومية وخزيت اشتراكية 
قوم ضالين مضلين 
قولهم وأطلق لحيته 
قول شاعر عربي 
قول الله تعال 
قواعد ولله حمد 
قواعد أعلنها زعيم 
قناعات فصار يتردد 
قلوب وعجب حاضرون 
قلعة جليلة متينة 
قضايا معاصرة عدد 
قصير غاية فاضح 
قصص وغرائب ونوادر 
قصرا منيفا تحيط 
قصة شيخ إسكندرية 
قرن تاسع هجري 
قراء لفضلهما ونوهت 
قدرة وهم بلا 
قبائح وكم أضلت 
قبائح وإنا لله 
